Product,Price,KMs,Fuel,Owners,Year,Location,Brand
Mahindra Scorpio VLX BS IV,750000,68000,Diesel,1,2013,Hyderabad,Mahindra
Maruti Suzuki Alto 800 LXI,325000,37000,Petrol,1,2016,Hyderabad,Maruti
Maruti Suzuki Swift VDi ABS,570000,69000,Diesel,1,2015,Hyderabad,Maruti
Mahindra Xylo E4 BS IV,465000,61000,Diesel,1,2010,Hyderabad,Mahindra
Mahindra TUV300 T4+,875000,25000,Diesel,1,2018,Hyderabad,Mahindra
Hyundai Grand i10 Sportz (O...,645000,31000,Petrol,1,2017,Hyderabad,Hyundai
Hyundai Santro Xing XO eRLX...,230000,77000,Petrol,1,2007,Hyderabad,Hyundai
Volkswagen Polo Comfortline...,370000,78000,Diesel,1,2011,Hyderabad,Volkswagen
Honda City ZX CVT Petrol,1250000,26000,Petrol,1,2018,Hyderabad,Honda
Audi A6 2.0 TDI,2100000,58000,Diesel,1,2012,Hyderabad,Audi
Toyota Innova Crysta 2.8 GX...,1950000,30746,Diesel,1,2019,Hyderabad,Toyota
Maruti Suzuki Swift Dzire ZDI,430000,76863,Diesel,1,2011,Hyderabad,Maruti
Hyundai Xcent 2nd Gen 1.1 U...,520000,25843,Diesel,1,2014,Hyderabad,Hyundai
Land Rover Range Rover Spor...,3500000,79000,Diesel,1,2010,Hyderabad,Land
Land Rover Range Rover 5.0 ...,3000000,134000,Petrol,1,2010,Hyderabad,Land
Mahindra TUV300 T10,1050000,20060,Diesel,1,2018,Hyderabad,Mahindra
Mercedes Benz GL 350 CDI Lu...,3700000,67000,Diesel,1,2013,Hyderabad,Mercedes
Maruti Suzuki Wagon R 1.0 VXI+,490000,32977,Petrol,1,2018,Hyderabad,Maruti
Hyundai Grand i10 1.2 Kappa...,575000,32000,Petrol,1,2016,Hyderabad,Hyundai
Mercedes Benz E Class E 220 d,3200000,21000,Diesel,1,2017,Hyderabad,Mercedes
Hyundai Eon Era +,290000,40000,Petrol,1,2016,Hyderabad,Hyundai
Ford EcoSport 1.5 TDCi Tita...,650000,80000,Diesel,1,2014,Hyderabad,Ford
Volkswagen Polo Comfortline...,370000,78000,Diesel,1,2011,Hyderabad,Volkswagen
Maruti Suzuki Ritz MC VDI,350000,72000,Diesel,1,2009,Hyderabad,Maruti
Maruti Suzuki Swift VDi,570000,99000,Diesel,1,2014,Hyderabad,Maruti
Maruti Suzuki Alto LXI,170000,60000,Petrol,1,2006,Hyderabad,Maruti
